Interview Id,Interview Name,Interview Owner Id,Client Id,Candidate Id,Job Opening Id,Application ID,From,To,Interview Type,Interview Status,Batch Name,Cancellation Reason,Feedback,Created Time
Zrecruit_159941000009839284,Online Interview,Sonali Maurya,Zrecruit_159941000009193194,159941000007408045,Zrecruit_159941000009193201,Zrecruit_159941000009191531,03/06/2026 11:30 AM,03/06/2026 12:30 PM,In-person Interview,,ACDM & PCDMS September 2025 Batch 1 - 513,,,03/06/2026 5:22 PM
Zrecruit_159941000009785741,Online Interview,Riddhi Rane,Zrecruit_159941000002603575,159941000009089163,Zrecruit_159941000009677217,Zrecruit_159941000009696377,28/05/2026 02:00 PM,28/05/2026 02:30 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Candidate not available,,02/06/2026 1:07 PM
Zrecruit_159941000009785695,Online Interview,Riddhi Rane,Zrecruit_159941000002603575,159941000009675333,Zrecruit_159941000009677217,Zrecruit_159941000009705021,28/05/2026 12:00 PM,28/05/2026 12:30 PM,In-person Interview,,ACDM & PCDMS September 2025 Batch 1 - 513,,,02/06/2026 12:50 PM
Zrecruit_159941000009785686,Online Interview,Riddhi Rane,Zrecruit_159941000002603575,159941000007408045,Zrecruit_159941000009677217,Zrecruit_159941000009711003,28/05/2026 12:00 PM,28/05/2026 12:30 PM,In-person Interview,,ACDM & PCDMS September 2025 Batch 1 - 513,,,02/06/2026 12:48 PM
Zrecruit_159941000009761407,Assignment Round,Dania Assadi,Zrecruit_159941000009540864,159941000008702094,Zrecruit_159941000009540871,Zrecruit_159941000009538757,01/06/2026 6:00 PM,01/06/2026 6:30 PM,In-person Interview,,ACDM & PCDMS August 2025 Batch 2 - 508,,,29/05/2026 04:47 PM
Zrecruit_159941000009739252,Telephonic Interview,Sonali Maurya,Zrecruit_159941000009384469,159941000008702094,Zrecruit_159941000009384489,Zrecruit_159941000009542246,30/05/2026 04:00 PM,30/05/2026 04:30 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,29/05/2026 11:06 AM
Zrecruit_159941000009702692,HR Round (Offline),Riddhi Rane,Zrecruit_159941000009397549,159941000009124007,Zrecruit_159941000009397839,Zrecruit_159941000009397844,25/05/2026 03:00 PM,25/05/2026 03:30 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Candidate no-show,candidate suddenly opted out,26/05/2026 05:29 PM
Zrecruit_159941000009702058,Telephonic Interview,Dania Assadi,Zrecruit_159941000009540864,159941000008702094,Zrecruit_159941000009540871,Zrecruit_159941000009538757,27/05/2026 04:00 PM,27/05/2026 04:30 PM,In-person Interview,,ACDM & PCDMS August 2025 Batch 2 - 508,,,26/05/2026 02:59 PM
Zrecruit_159941000009681671,Telephonic Interview,Gemini Patel,Zrecruit_159941000000621102,159941000009124007,Zrecruit_159941000009569110,Zrecruit_159941000009572199,26/05/2026 12:00 PM,26/05/2026 12:30 PM,In-person Interview,,ACDM & PCDMS September 2025 Batch 2 - 514,,,26/05/2026 11:30 AM
Zrecruit_159941000009615807,Online Interview,Sonali Maurya,Zrecruit_159941000009384573,159941000009123013,Zrecruit_159941000009542014,Zrecruit_159941000009555322,22/05/2026 05:30 PM,22/05/2026 06:30 PM,In-person Interview,Cancelled,ACDM & PCDMS September 2025 Batch 2 - 514,Job opening closed,,22/05/2026 11:50 AM
Zrecruit_159941000009613589,HR Round (Offline),Dania Assadi,Zrecruit_159941000005070759,159941000009089163,Zrecruit_159941000009540835,Zrecruit_159941000009576181,22/05/2026 02:15 PM,22/05/2026 02:30 PM,In-person Interview,,ACDM & PCDMS September 2025 Batch 2 - 514,,,21/05/2026 01:38 PM
Zrecruit_159941000009584452,Online Interview,Dania Assadi,Zrecruit_159941000005899641,159941000009001298,Zrecruit_159941000009539026,Zrecruit_159941000009552030,22/05/2026 11:00 AM,22/05/2026 11:30 AM,In-person Interview,,ACDM & PCDMS September 2025 Batch 2 - 514,,,20/05/2026 06:27 PM
Zrecruit_159941000009542643,Technical Round,Aanchal Sharma,Zrecruit_159941000000606348,159941000008404826,Zrecruit_159941000009011117,Zrecruit_159941000009257492,20/05/2026 05:30 PM,20/05/2026 06:30 PM,In-person Interview,,ACDM & PCDMS August 2025 Batch 1 - 506,,,20/05/2026 10:52 AM
Zrecruit_159941000009397523,Technical Round,Aanchal Sharma,Zrecruit_159941000006898441,159941000008404802,Zrecruit_159941000009312660,Zrecruit_159941000009332450,18/05/2026 04:00 PM,18/05/2026 05:00 PM,In-person Interview,Cancelled,ACDM & PCDMS August 2025 Batch 2 - 508,Job opening closed,,18/05/2026 03:40 PM
Zrecruit_159941000009397169,Technical Round,Aanchal Sharma,Zrecruit_159941000000621092,159941000008404826,Zrecruit_159941000009191406,Zrecruit_159941000009194173,16/05/2026 01:00 PM,16/05/2026 02:00 PM,Adhoc Interview,Needs More Mentoring,ACDM & PCDMS August 2025 Batch 1 - 506,,Need more mentoring,18/05/2026 01:30 PM
