Job Opening Id,Account Manager,Job Type,Posting Title,Job Opening Status,Date Opened,City,Province,Country,Created Time,Salary,Profile
Zrecruit_159941000010154104,Gemini Patel,Full time,Digital Marketing Strategist,In-progress,09/06/2026,Mumbai,Thane,,09/06/2026 4:30 PM,30 - 40 K,Online Reputation Management (ORM)
Zrecruit_159941000010154100,Gemini Patel,Full time,ORM Executive,In-progress,09/06/2026,Mumbai,Thane,,09/06/2026 4:28 PM,10 - 20 K,Online Reputation Management (ORM)
Zrecruit_159941000010154087,Gemini Patel,Full time,Junior Social Media Account Manager,In-progress,09/06/2026,Mumbai,Thane,,09/06/2026 4:23 PM,20 - 30 K,Account Management
Zrecruit_159941000010154063,Gemini Patel,Full time,Account Manager,In-progress,09/06/2026,Mumbai,Thane,,09/06/2026 4:13 PM,50k+,Account Management
Zrecruit_159941000010143457,Riddhi Rane,Internship,Social Media Marketing Intern,In-progress,09/06/2026,Mumbai,Andheri West,,09/06/2026 1:48 PM,10 - 20 K,Social Media
Zrecruit_159941000010143454,Riddhi Rane,Internship with PPO,Social Media Intern,In-progress,09/06/2026,Mumbai,Santacruz,,09/06/2026 1:45 PM,10 - 20 K,Social Media
Zrecruit_159941000010140397,Riddhi Rane,Internship,Social Media & Content Intern,In-progress,09/06/2026,Mumbai,vile parle,,09/06/2026 4:18 PM,10 - 20 K,Social Media
Zrecruit_159941000010140329,Riddhi Rane,Full time,Account Manger,In-progress,09/06/2026,Mumbai,vile parle,,09/06/2026 3:46 PM,20 - 30 K,Account Management
Zrecruit_159941000010140244,Vidhi Yelkar,Internship with PPO,Performance Marketing Intern,In-progress,09/06/2026,Gurugram,Delhi,India,09/06/2026 3:12 PM,20 - 30 K,Performance Marketing
Zrecruit_159941000010140228,Gemini Patel,Full time,Marketing and event executive,In-progress,09/06/2026,Andheri East,Mumbai,,09/06/2026 3:06 PM,30 - 40 K,Digital Marketing (All-Rounder)
Zrecruit_159941000010140216,Gemini Patel,Full time,Account Management,In-progress,09/06/2026,Andheri east,Mumbai,,09/06/2026 3:04 PM,50k+,Business Development
Zrecruit_159941000010140202,Gemini Patel,Full time,Business Development executive,In-progress,09/06/2026,Andheri east,Mumbai,,09/06/2026 2:58 PM,30 - 40 K,Business Development
Zrecruit_159941000010140179,Gemini Patel,Internship with PPO,Brand Planner  Intern,In-progress,09/06/2026,Andheri East,Mumbai,,09/06/2026 2:48 PM,5 - 10 K,Brand Solutions
Zrecruit_159941000010140170,Gemini Patel,Full time,Brand Planner  Executive,In-progress,09/06/2026,Andheri East,Mumbai,,09/06/2026 2:41 PM,30 - 40 K,Brand Solutions
Zrecruit_159941000010140156,Gemini Patel,Internship with PPO,Performance Marketing Executive,In-progress,09/06/2026,Andheri East,Mumbai,,09/06/2026 2:37 PM,30 - 40 K,Performance Marketing
Zrecruit_159941000010140149,Gemini Patel,Internship with PPO,Performance Marketing Intern,In-progress,09/06/2026,Andheri East,Mumbai,,09/06/2026 2:32 PM,5 - 10 K,Performance Marketing
Zrecruit_159941000010140121,Riddhi Rane,Internship with PPO,AD Operations Intern,In-progress,09/06/2026,mumbai,curry road,,09/06/2026 1:01 PM,5 - 10 K,Ad Operations
Zrecruit_159941000010140104,Riddhi Rane,Full time,Content Writer,In-progress,09/06/2026,mumbai,malad,,09/06/2026 12:55 PM,20 - 30 K,Content Writing
Zrecruit_159941000010140092,Vidhi Yelkar,Internship with PPO,Content Writer – Intern,In-progress,09/06/2026,Mumbai,Goregaon east,,09/06/2026 12:50 PM,5 - 10 K,Content Writing
Zrecruit_159941000010140081,Vidhi Yelkar,Internship with PPO,Influencer marketing Intern,In-progress,09/06/2026,Mumbai,Goregaon,,09/06/2026 12:48 PM,20 - 30 K,Influencer Marketing
Zrecruit_159941000010140035,Riddhi Rane,Full time,business development executive,In-progress,09/06/2026,Mumbai,Maharashtra,India,09/06/2026 11:28 AM,10 - 20 K,Business Development
Zrecruit_159941000010138401,Dania Assadi,Full time,Performance Marketing,In-progress,09/06/2026,Pune,Sanagawade Road,,09/06/2026 4:25 PM,Not Defined,Performance Marketing
Zrecruit_159941000010138066,Gemini Patel,Full time,Digital Analyst,In-progress,09/06/2026,Mumbai,One BKC,,09/06/2026 1:11 PM,50k+,Others
Zrecruit_159941000010138040,Dania Assadi,Full time,Marketing Manager,In-progress,09/06/2026,Delhi,Okla Phase 2,,09/06/2026 12:56 PM,40 - 50k,Digital Marketing (All-Rounder)
Zrecruit_159941000010138026,Dania Assadi,Full time,Social Media Executive,In-progress,09/06/2026,Delhi,Pitampura,,09/06/2026 12:14 PM,20 - 30 K,Social Media
Zrecruit_159941000010136019,Gemini Patel,Internship,Performance Marketing Intern,In-progress,09/06/2026,Remote,Remote,,09/06/2026 9:45 AM,10 - 20 K,Performance Marketing
Zrecruit_159941000010136005,Gemini Patel,Full time,Performance Marketing Manager,In-progress,09/06/2026,New Delhi,Chhatarpur,,09/06/2026 9:34 AM,20 - 30 K,Performance Marketing
Zrecruit_159941000009926601,Riddhi Rane,Full time,SEO Intern,In-progress,08/06/2026,Mumbai,Kandivali,,08/06/2026 4:46 PM,10 - 20 K,SEO
Zrecruit_159941000009920222,Gemini Patel,Full time,Sr. Account Manager,In-progress,08/06/2026,Mumbai,Goregaon,India,08/06/2026 5:21 PM,50k+,Account Management
Zrecruit_159941000009920215,Gemini Patel,Full time,Sr. Creative Strategist,In-progress,08/06/2026,Mumbai,Goregaon,,08/06/2026 5:15 PM,50k+,Social Media
Zrecruit_159941000009920088,Vidhi Yelkar,Full time,Ecommerce Manager,In-progress,08/06/2026,Lower Parel,Mumbai,,08/06/2026 11:50 AM,10 - 20 K,E-Commerce
Zrecruit_159941000009915387,Aanchal Sharma,Full time,Campaign Manager,In-progress,08/06/2026,Noida,Uttar Pradesh,,08/06/2026 6:47 PM,40 - 50k,Campaign Management
Zrecruit_159941000009915370,Aanchal Sharma,Full time,Influencer Marketing Specialist,In-progress,08/06/2026,Delhi,Delhi,,08/06/2026 6:45 PM,40 - 50k,Influencer Marketing
Zrecruit_159941000009915365,Aanchal Sharma,Full time,Senior Client Account Executive - Digital Advertising,In-progress,08/06/2026,Delhi,Delhi,,08/06/2026 6:42 PM,40 - 50k,Client Servicing
Zrecruit_159941000009915347,Aanchal Sharma,Internship with PPO,SEO Intern,In-progress,08/06/2026,Delhi,Delhi,,08/06/2026 6:28 PM,10 - 20 K,SEO
Zrecruit_159941000009915337,Aanchal Sharma,Full time,SEO Manager,In-progress,08/06/2026,Noida,Uttar Pradesh,,08/06/2026 6:12 PM,Not Defined,SEO
Zrecruit_159941000009915261,Dania Assadi,Internship,Social Media Intern,In-progress,08/06/2026,Mumbai,borivali,,08/06/2026 3:22 PM,10 - 20 K,Social Media
Zrecruit_159941000009912284,Gemini Patel,Full time,Social Media Executive ( Harvest Salad Co),In-progress,08/06/2026,Mumbai,Mumbai,,08/06/2026 3:24 PM,40 - 50k,Social Media
Zrecruit_159941000009909536,Riddhi Rane,Full time,Performance Marketing Executive,In-progress,06/06/2026,Mumbai,Jogeshwari East,,06/06/2026 5:29 PM,20 - 30 K,Performance Marketing
Zrecruit_159941000009909532,Riddhi Rane,Full time,Social Media Manager,In-progress,06/06/2026,Mumbai,Jogeshwari East,,06/06/2026 5:28 PM,20 - 30 K,Digital Marketing (All-Rounder)
Zrecruit_159941000009909527,Riddhi Rane,Full time,Digital Marketing Executive,In-progress,06/06/2026,Mumbai,Jogeshwari East,,06/06/2026 5:27 PM,20 - 30 K,Digital Marketing (All-Rounder)
Zrecruit_159941000009909444,Riddhi Rane,Full time,Social Media Intern,In-progress,06/06/2026,Mumbai,Goregoan,,06/06/2026 3:35 PM,10 - 20 K,Social Media
Zrecruit_159941000009909245,Riddhi Rane,Full time,Marketing Intern,In-progress,06/06/2026,Navi Mumbai,Koparkhairne,,06/06/2026 12:49 PM,10 - 20 K,Digital Marketing (All-Rounder)
Zrecruit_159941000009909159,Vidhi Yelkar,Internship with PPO,Marketing Intern,In-progress,06/06/2026,Malad west,Mumbai,,06/06/2026 11:51 AM,20 - 30 K,Digital Marketing (All-Rounder)
Zrecruit_159941000009909029,Vidhi Yelkar,Internship with PPO,Social Media Intern,In-progress,06/06/2026,Malad,Mumbai,,06/06/2026 11:37 AM,5 - 10 K,Social Media
Zrecruit_159941000009908428,Gemini Patel,Full time,Performance Marketing Executive,In-progress,08/06/2026,New Delhi,Chhatarpur,,08/06/2026 5:11 PM,20 - 30 K,Performance Marketing
Zrecruit_159941000009908417,Gemini Patel,Internship with PPO,Social Media Intern,In-progress,08/06/2026,Mumbai,Mumbai Central,,08/06/2026 5:08 PM,5 - 10 K,Social Media
Zrecruit_159941000009908242,Gemini Patel,Full time,Branding & Marketing Manager,In-progress,08/06/2026,Mumbai,Lower Parel,,08/06/2026 2:40 PM,50k+,Brand Marketing
Zrecruit_159941000009908194,Sonali Maurya,Full time,Social Media Manager,In-progress,08/06/2026,South Delhi,Mathura Road,,08/06/2026 12:32 PM,30 - 40 K,Social Media
Zrecruit_159941000009908188,Sonali Maurya,Full time,Business Development Executive,In-progress,08/06/2026,South Delhi,Mathura Road,,08/06/2026 12:30 PM,30 - 40 K,Business Development
Zrecruit_159941000009894206,Gemini Patel,Full time,Social Media Associate,In-progress,05/06/2026,Mumbai,Andheri,,05/06/2026 6:30 PM,20 - 30 K,Social Media
Zrecruit_159941000009894202,Gemini Patel,Internship,Founder's Intern,In-progress,05/06/2026,Mumbai,Andheri,,05/06/2026 6:28 PM,10 - 20 K,Digital Marketing (All-Rounder)
Zrecruit_159941000009894192,Gemini Patel,Internship,Branding & Marketing Intern,In-progress,05/06/2026,Mumbai,Andheri,,05/06/2026 6:22 PM,10 - 20 K,Brand Marketing
Zrecruit_159941000009894007,Gemini Patel,Internship,Business Development Intern,In-progress,05/06/2026,Mumbai,MIDC Navi Mumbai,,05/06/2026 4:52 PM,10 - 20 K,Business Development
Zrecruit_159941000009894001,Gemini Patel,Full time,Influencer Marketing Executive,In-progress,05/06/2026,Navi Mumbai,MIDC Navi Mumbai,,05/06/2026 4:49 PM,20 - 30 K,Influencer Marketing
Zrecruit_159941000009891290,Riddhi Rane,Full time,Social Media Executive,In-progress,05/06/2026,Mumbai,Sanpada,,05/06/2026 6:28 PM,20 - 30 K,Social Media
Zrecruit_159941000009885668,Riddhi Rane,Full time,CONTENT WRITER INTERN (REMOTE),In-progress,05/06/2026,Remote,Remote,,05/06/2026 3:56 PM,10 - 20 K,Content Writing
Zrecruit_159941000009885662,Riddhi Rane,Full time,CREATIVE STRATEGIST (INSTAGRAM),In-progress,05/06/2026,Banglore,Thubarahalli,,05/06/2026 3:52 PM,20 - 30 K,Digital Marketing (All-Rounder)
Zrecruit_159941000009885599,Riddhi Rane,Internship,Client Servicing Intern,In-progress,05/06/2026,Mumbai,Lower Parel,,05/06/2026 3:33 PM,5 - 10 K,Social Media
Zrecruit_159941000009882066,Riddhi Rane,Full time,Social Media Manager,In-progress,05/06/2026,mumbai,ghatkhopar,,05/06/2026 12:28 PM,40 - 50k,Social Media
Zrecruit_159941000009880239,Gemini Patel,Full time,Influencer Marketing Intern,In-progress,05/06/2026,Navi Mumbai,MIDC Navi Mumbai,,05/06/2026 2:52 PM,10 - 20 K,Influencer Marketing
Zrecruit_159941000009880222,Sonali Maurya,Full time,Content & Creative Marketing Associate,In-progress,05/06/2026,Mumbai,Wadala,,05/06/2026 2:19 PM,20 - 30 K,Content Management
